OrderID;IsbnList;Date_0F_BiLL;Price;QuantityList;Seller
1239019544;[978-0596007126, 978-0132350884, 978-0451524935];12.01.2023;475.0;[5,5,4];librarian2
-1024665236;[978-013235088, 978-0596007126];12.01.2023;150.0;[2, 2];librarian2
1877781482;[978-0132350884, 978-0596007126];12.08.2023;150.0;[2, 2];librarian2
334404865;[978-0061120084, 978-1234567890];12.01.2023;190.0;[5, 2];librarian1
-544698984;[978-0132350884, 978-1234567890];12.02.2023;130.0;[1, 2];librarian2
-31128516;[978-4356723451, 978-4351409439];12.03.2023;42.0;[2, 1];librarian2
-1421241036;[978-0132350884];12.01.2024;120.0;[3];librarian2
764374516;[978-0132350884];13.01.2024;120.0;[3];librarian2
-2083378140;[978-0132350884];14.01.2024;120.0;[3];librarian1
850636442;[978-0132350884];15.01.2024;80.0;[2];librarian2
-835491050;[978-0596007126, 978-0451524935, 978-4356723451];16.01.2024;171.0;[3, 2, 1];librarian4
-1022315101;[978-0132350884, 978-0596007126, 978-0451524935];17.01.2024;100.0;[1, 1, 1];librarian4
-1989947189;[978-0596007126, 978-0451524935];13.02.2024;85.0;[1, 2];librarian4
-1069034322;[978-0132350884, 978-0596007126];14.02.2024;75.0;[1, 1];admin1
-308080548;[978-0451524935];15.03.2024;25.0;[1];admin1
362202909;[978-0132350884, 978-0596007126];14.04.2024;110.0;[1, 2];admin1
-395711002;[978-0132350884, 978-0596007126];14.05.2024;115.0;[2, 1];admin1
-895825170;[978-0061120084];15.01.2024;40.0;[2];librarian3
384373233;[978-0596007126, 978-0747532743];15.01.2024;110.0;[2, 1];librarian3
-1784007289;[978-0132350884];15.01.2024;40.0;[1];librarian3
2125186717;[978-0132350884];15.01.2024;40.0;[1];librarian3
-1674941232;[978-0596007126];15.01.2024;35.0;[1];librarian4
-379180808;[978-123098127];15.01.2024;20.0;[2];admin1
-1475350206;[978-0596007126];15.01.2024;70.0;[2];librarian4
1079745622;[978-0132350884];15.01.2024;80.0;[2];librarian4
1494045843;[978-0132350884];15.01.2024;80.0;[2];admin1
-1416542082;[978-0596007126];15.01.2024;70.0;[2];admin1
1375770405;[978-0596007126];15.01.2024;105.0;[3];admin1
1179411200;[978-1234567890, 978-0061120084, 978-4356723451, 978-9808616490, 978-123098127, 978-4351409439];15.01.2024;330.0;[2, 4, 5, 1, 2, 3];admin1
1956547913;[978-0132350884, 978-0596007126, 978-0061120084, 978-1234567890, 978-4356723451, 978-4351409439, 978-9808616490, 978-0553213690, 978-0747532743, 978-0747546290, 978-0374528379, 978-0375702242];15.01.2024;1184.0;[2, 3, 3, 5, 1, 5, 4, 2, 5, 3, 4, 2];admin1
1833242692;[978-0596007126];15.01.2024;70.0;[2];admin1
42689485;[978-123098127];15.01.2024;100.0;[10];admin1
1817094375;[978-0451524935];15.01.2024;100.0;[4];admin1
1458010346;[978-0132350884, 978-0061120084];16.01.2024;60.0;[1, 1];admin1
-45527237;[12345678];16.01.2024;2000.0;[50];admin1
844601250;[978-0132350884];16.01.2024;40.0;[1];librarian2
-1201119849;[978-0132350884];15.01.2024;80.0;[2];admin1
786620952;[978-0596007126];16.01.2024;35.0;[1];admin1
-1157640984;[978-0596007126];16.01.2024;35.0;[1];admin1
1339493416;[978-0596007126];16.01.2024;70.0;[2];librarian2
-837331234;[978-0596007126];16.01.2024;35.0;[1];librarian2
1545895544;[978-0596007126];16.01.2024;70.0;[2];librarian2
-1773928930;[978-0374528379, 978-0375702242, 978-0140449136];16.01.2024;466.0;[9, 3, 4];librarian1
454596818;[978-4356723451, 978-1212345674, 978-0451524935, 978-0596007126, 978-0747546290];16.01.2024;627.0;[2, 7, 6, 3, 5];librarian1
1556461967;[978-0596007126];16.01.2024;105.0;[3];librarian2
560795456;[978-0747538493, 978-0747532743, 978-0375702242];16.01.2024;506.0;[7, 4, 3];librarian2
-1456412459;[978-4351409439, 978-9808616490, 978-0553213690];16.01.2024;5360.0;[95, 90, 95];admin1
